Time_aligned_s,VOCs_Extracted_S1,VOCs_Extracted_S2,VOCs_Extracted_S3,VOCs_Extracted_S4,VOCs_Extracted_S5,VOCs_Extracted_S6,VOCs_Extracted_S7,VOCs_Extracted_S8,Stress_Type,Period
107.0,-5228.495502,-5622.372012,-6568.12595,-6568.12595,-5688.139597,-3660.364912,-4471.339888,-2828.401538,2,3
108.0,-5067.222811,-5462.735444,-6392.928096,-6392.928096,-5518.036746,-3576.398426,-4350.373273,-2755.221209,2,3
109.0,-4911.348277,-5311.469121,-6225.740713,-6225.740713,-5355.129523,-3491.610577,-4228.736274,-2681.900863,2,3
110.0,-4759.275296,-5168.897776,-6060.31711,-6060.31711,-5197.918711,-3407.078571,-4109.249349,-2608.81704,2,3
111.0,-4612.60718,-5031.815299,-5900.355318,-5900.355318,-5048.341769,-3320.817767,-3988.225458,-2536.304374,2,3
112.0,-4469.858187,-4899.468573,-5740.313278,-5740.313278,-4906.951119,-3234.719608,-3868.715366,-2464.9003,2,3
113.0,-4332.513672,-4771.302431,-5584.185002,-5584.185002,-4770.602321,-3148.667144,-3750.151342,-2394.495662,2,3
114.0,-4199.155013,-4646.328052,-5426.81717,-5426.81717,-4640.548051,-3063.177136,-3634.008393,-2325.354638,2,3
115.0,-4071.099321,-4524.343076,-5272.280286,-5272.280286,-4514.566684,-2978.048935,-3519.229062,-2257.595501,2,3
116.0,-3947.258261,-4404.549223,-5119.229992,-5119.229992,-4393.149043,-2893.784945,-3406.890047,-2191.567776,2,3
117.0,-3829.224253,-4287.512171,-4969.526997,-4969.526997,-4273.818536,-2810.001852,-3296.280322,-2128.348609,2,3
118.0,-3717.863132,-4174.247621,-4822.12484,-4822.12484,-4157.366826,-2727.234378,-3188.635277,-2066.615227,2,3
119.0,-3610.898355,-4060.687697,-4679.132385,-4679.132385,-4041.906615,-2645.354523,-3083.215963,-2006.960578,2,3
120.0,-3509.050446,-3949.411022,-4539.110747,-4539.110747,-3928.177787,-2564.769233,-2981.049263,-1947.333616,2,3
121.0,-3409.938989,-3836.71794,-4403.538194,-4403.538194,-3817.539861,-2485.564759,-2881.669157,-1889.148603,2,3
122.0,-3313.260182,-3725.358095,-4271.121939,-4271.121939,-3711.027276,-2408.414517,-2786.133394,-1831.901324,2,3
123.0,-3218.847488,-3614.436605,-4143.371585,-4143.371585,-3605.104435,-2334.296674,-2695.708864,-1775.084534,2,3
124.0,-3125.977456,-3505.080313,-4019.236371,-4019.236371,-3502.67109,-2261.667368,-2608.737588,-1717.977075,2,3
125.0,-3034.291703,-3396.517358,-3900.130137,-3900.130137,-3400.274929,-2190.234456,-2525.472594,-1660.174988,2,3
126.0,-2943.496078,-3289.919578,-3787.047904,-3787.047904,-3300.259011,-2120.867996,-2443.912153,-1601.58752,2,3
127.0,-2854.206332,-3184.663072,-3677.978978,-3677.978978,-3199.17071,-2053.684819,-2363.901729,-1542.661509,2,3
128.0,-2766.987209,-3081.961683,-3573.893057,-3573.893057,-3099.15682,-1987.790002,-2285.295623,-1481.895347,2,3
129.0,-2679.070329,-2981.289727,-3472.70073,-3472.70073,-2997.25291,-1922.704859,-2207.531386,-1420.463276,2,3
130.0,-2592.846424,-2883.282482,-3374.62114,-3374.62114,-2895.986107,-1856.944381,-2130.392032,-1357.180767,2,3
131.0,-2505.220161,-2788.345589,-3277.51704,-3277.51704,-2794.725543,-1789.614243,-2053.859224,-1294.795031,2,3
132.0,-2417.843445,-2698.383593,-3181.532703,-3181.532703,-2694.139775,-1720.440714,-1978.250859,-1232.853742,2,3
133.0,-2330.001448,-2613.38313,-3086.975439,-3086.975439,-2594.133287,-1649.773386,-1904.439672,-1171.909247,2,3
134.0,-2242.536986,-2530.907112,-2993.816718,-2993.816718,-2496.365231,-1575.914609,-1830.052943,-1111.765435,2,3
