VOCs_Extracted_S1,VOCs_Extracted_S2,VOCs_Extracted_S3,VOCs_Extracted_S4,VOCs_Extracted_S5,VOCs_Extracted_S6,VOCs_Extracted_S7,VOCs_Extracted_S8,Stress_Type,Period
-101.883696,21151.71411,2791.002421,2791.002421,13830.00206,3593.36183,-24555.03923,-4846.545946,2,9
-3475.588511,15581.16256,2879.796839,2879.796839,6535.285777,2938.123961,-25313.7987,-5578.241594,2,9
-6979.380735,10266.29253,2968.804865,2968.804865,76.01794639,2140.09223,-25326.24528,-6107.424559,2,9
-10422.49532,5031.947359,3053.888938,3053.888938,-5547.80143,1078.088563,-24515.0519,-6517.451824,2,9
-13630.01928,114.8929727,3138.038638,3138.038638,-10336.17235,-84.63675864,-23162.84871,-6791.484448,2,9
-16461.49053,-4431.396699,3221.253966,3221.253966,-14289.09482,-1296.845274,-21520.95981,-6968.621002,2,9
-18800.32551,-8537.526846,3303.534921,3303.534921,-17135.99415,-2511.978862,-19833.41286,-7083.514346,2,9
-20567.60255,-12136.28326,3384.881504,3384.881504,-19265.65785,-3687.381246,-18247.95176,-7158.777793,2,9
-21710.09343,-15148.06994,6058.000585,6058.000585,-20812.41524,-4784.57266,-16884.73358,-7219.262373,2,9
-21990.07193,-17496.34222,-682.3334976,-682.3334976,-21872.65031,-5769.192274,-15769.86172,-7276.349716,2,9
-21596.26811,-18860.53551,-6464.38043,-6464.38043,-22487.99341,-6610.61763,-14899.26315,-7343.094751,2,9
-20642.82821,-19360.88411,-11288.14021,-11288.14021,-22434.11222,-7216.666445,-14350.75153,-7418.771416,2,9
-19318.23363,-19167.00022,-15153.61284,-15153.61284,-21840.21433,-7617.26727,-14004.37323,-7503.473822,2,9
-17867.54966,-18519.35027,-18060.79832,-18060.79832,-20844.63631,-7853.108962,-13567.98913,-7590.225551,2,9
-16471.70716,-17638.38327,-19636.8158,-19636.8158,-19580.60751,-7958.405596,-13180.3198,-7643.543945,2,9
-15311.97426,-16753.75459,-20435.41701,-20435.41701,-18203.23402,-7978.269619,-12827.70214,-7685.595032,2,9
-14463.57628,-16016.84551,-20419.47877,-20419.47877,-16806.19316,-7963.310972,-12528.64671,-7718.598086,2,9
-13944.11712,-15538.76081,-19829.09137,-19829.09137,-15640.63164,-7955.252108,-12250.57594,-7735.95045,2,9
-13619.16537,-15307.21718,-18886.23198,-18886.23198,-14781.69832,-7987.666915,-12004.65182,-7742.588254,2,9
-13236.26604,-15208.79379,-17780.74405,-17780.74405,-14248.38552,-8063.833921,-11762.54811,-7731.845506,2,9
-12904.59636,-14955.1206,-16691.99719,-16691.99719,-13907.4116,-8160.350026,-11532.856,-7709.368323,2,9
-12611.83192,-14691.29829,-15718.91223,-15718.91223,-13508.14632,-8204.48811,-11299.24431,-7670.352544,2,9
-12341.80636,-14410.28652,-14921.99845,-14921.99845,-13154.0992,-8238.388192,-11066.21642,-7619.635938,2,9
-12108.32209,-14139.13016,-14332.13055,-14332.13055,-12841.42831,-8254.218809,-10822.96215,-7552.681847,2,9
-11880.51914,-13856.52708,-13915.50106,-13915.50106,-12551.73961,-8255.359283,-10575.92815,-7473.585334,2,9
-11669.01073,-13578.01176,-13641.45002,-13641.45002,-12304.39343,-8235.696759,-10318.77064,-7377.196532,2,9
-11447.94457,-13287.41419,-13296.67683,-13296.67683,-12070.09899,-8197.860907,-10056.79127,-7268.923246,2,9
-11226.16366,-12995.42906,-12991.70163,-12991.70163,-11859.36008,-8140.088139,-9787.425676,-7147.286213,2,9
-10984.88567,-12689.57918,-12714.02087,-12714.02087,-11647.36971,-8067.863301,-9517.288045,-7018.252813,2,9
-10736.09986,-12378.66435,-12463.26122,-12463.26122,-11442.94336,-7977.327151,-9245.784045,-6880.738714,2,9
-10473.2133,-12053.90129,-12244.65154,-12244.65154,-11225.83443,-7873.868614,-8979.632292,-6742.929126,2,9
-10202.05648,-11723.00735,-12033.56437,-12033.56437,-11004.52669,-7754.136168,-8724.158657,-6604.028768,2,9
-9919.72105,-11381.78799,-11831.75942,-11831.75942,-10764.7277,-7623.324841,-8477.920023,-6468.871515,2,9
-9633.55255,-11038.28735,-11635.97918,-11635.97918,-10516.88254,-7479.297454,-8244.765381,-6337.485437,2,9
-9343.341468,-10693.19714,-11434.27533,-11434.27533,-10250.92709,-7327.552395,-8021.346174,-6210.991389,2,9
-9056.571038,-10349.4228,-11223.78493,-11223.78493,-9977.128665,-7168.182845,-7809.138285,-6086.285272,2,9
-8774.058394,-10010.71119,-10999.02932,-10999.02932,-9694.667957,-7007.029963,-7601.544379,-5964.564132,2,9
-8501.41403,-9677.72198,-10758.76292,-10758.76292,-9410.655479,-6846.65727,-7399.527078,-5843.237485,2,9
-8239.533088,-9353.647401,-10498.52621,-10498.52621,-9126.122108,-6693.258081,-7201.446681,-5723.10982,2,9
-7993.053487,-9041.596739,-10226.68463,-10226.68463,-8847.169445,-6544.0147,-7008.339663,-5601.565557,2,9
-7763.792622,-8742.803306,-9943.44682,-9943.44682,-8574.067044,-6402.917112,-6821.090209,-5480.894903,2,9
-7545.058072,-8457.075327,-9658.576997,-9658.576997,-8310.623558,-6265.081836,-6641.945393,-5357.901056,2,9
-7338.901896,-8184.63355,-9378.711755,-9378.711755,-8056.813111,-6132.002956,-6464.750802,-5235.123337,2,9
-7139.376909,-7923.950646,-9098.687769,-9098.687769,-7814.591393,-6000.934158,-6293.426138,-5112.197566,2,9
-6946.684233,-7675.760808,-8826.303893,-8826.303893,-7582.548009,-5872.262256,-6122.177284,-4989.741272,2,9
-6759.834732,-7434.009914,-8557.506614,-8557.506614,-7361.428124,-5744.056354,-5955.496277,-4867.633562,2,9
-6577.684986,-7202.469402,-8299.286906,-8299.286906,-7154.141733,-5617.06365,-5788.025356,-4747.039858,2,9
-6399.571619,-6974.690151,-8044.35012,-8044.35012,-6956.394962,-5491.506749,-5624.043503,-4627.721902,2,9
-6224.785145,-6755.044316,-7795.826167,-7795.826167,-6769.194011,-5368.470237,-5462.028969,-4510.607436,2,9
-6054.478371,-6541.664355,-7552.751843,-7552.751843,-6588.397918,-5244.35762,-5303.964324,-4395.366735,2,9
-5890.443939,-6336.44632,-7316.061035,-7316.061035,-6414.425596,-5121.591292,-5148.432255,-4283.082503,2,9
-5727.007341,-6137.466914,-7084.875443,-7084.875443,-6243.717648,-4996.682811,-4997.038195,-4173.482648,2,9
-5567.978032,-5946.985127,-6861.512691,-6861.512691,-6076.409624,-4872.447157,-4848.604728,-4067.512665,2,9
-5408.158043,-5763.102294,-6644.377182,-6644.377182,-5912.896698,-4748.381382,-4704.978588,-3966.388188,2,9
-5251.674679,-5587.661114,-6435.97868,-6435.97868,-5753.299712,-4625.435816,-4564.886866,-3868.073786,2,9
-5097.067842,-5418.882124,-6234.866374,-6234.866374,-5598.968089,-4503.267149,-4429.961058,-3773.68711,2,9
-4946.042864,-5258.56468,-6043.519163,-6043.519163,-5451.487853,-4382.903854,-4298.848842,-3681.117078,2,9
-4797.323086,-5105.112537,-5859.992038,-5859.992038,-5305.549381,-4263.968944,-4173.030218,-3591.110442,2,9
-4652.691892,-4960.102044,-5686.65219,-5686.65219,-5164.560415,-4147.649348,-4053.525779,-3501.502364,2,9
-4510.873684,-4824.750704,-5524.424902,-5524.424902,-5023.189618,-4033.208914,-3938.199808,-3412.676103,2,9
-4373.52725,-4696.517583,-5370.354345,-5370.354345,-4884.296072,-3921.323549,-3827.758371,-3324.926214,2,9
-4239.276009,-4575.458252,-5224.929383,-5224.929383,-4743.899546,-3812.048818,-3720.002878,-3238.432368,2,9
-4109.530656,-4458.542684,-5085.010574,-5085.010574,-4605.986193,-3706.764281,-3616.023555,-3153.637163,2,9
-3983.366239,-4344.996224,-4949.914085,-4949.914085,-4469.487319,-3606.702888,-3513.771353,-3071.291053,2,9
-3862.380153,-4234.250307,-4819.347584,-4819.347584,-4336.192987,-3509.966858,-3412.958007,-2988.980686,2,9
-3747.565337,-4125.235735,-4692.250299,-4692.250299,-4205.088855,-3417.656862,-3313.887554,-2908.354728,2,9
-3636.898331,-4017.591659,-4567.930781,-4567.930781,-4077.605794,-3327.625868,-3216.762721,-2826.803853,2,9
-3531.421635,-3910.902532,-4445.692089,-4445.692089,-3952.611722,-3240.564071,-3122.289213,-2746.013894,2,9
-3428.955328,-3805.835896,-4326.26277,-4326.26277,-3831.31964,-3154.27967,-3031.338819,-2663.488075,2,9
-3329.034547,-3703.813531,-4210.281365,-4210.281365,-3712.367774,-3068.436354,-2940.867162,-2580.931176,2,9
-3231.473171,-3601.282777,-4093.623568,-4093.623568,-3596.794074,-2983.027156,-2852.898365,-2498.148238,2,9
-3135.710251,-3500.264137,-3979.075858,-3979.075858,-3484.193899,-2898.462198,-2764.405843,-2415.646991,2,9
-3041.5082,-3397.587998,-3863.002984,-3863.002984,-3375.911631,-2815.210987,-2677.509258,-2333.621613,2,9
-2948.57147,-3295.822293,-3748.366699,-3748.366699,-3273.047199,-2733.874925,-2589.258534,-2253.263052,2,9
-2857.293975,-3194.303242,-3634.622266,-3634.622266,-3173.742365,-2652.056709,-2501.313621,-2174.065048,2,9
-2768.309972,-3094.189844,-3523.129105,-3523.129105,-3078.551933,-2571.570561,-2413.131392,-2096.315513,2,9
-2678.682942,-2994.984255,-3412.867889,-3412.867889,-2985.318968,-2489.812219,-2325.570834,-2019.496352,2,9
-2590.587333,-2897.253614,-3304.897372,-3304.897372,-2893.76064,-2408.205963,-2238.179484,-1944.058586,2,9
-2501.084861,-2801.380616,-3198.561535,-3198.561535,-2803.858896,-2324.719404,-2151.853548,-1869.610069,2,9
-2411.946739,-2709.51744,-3094.891016,-3094.891016,-2714.958787,-2241.188815,-2066.382243,-1796.743848,2,9
-2322.65098,-2620.032926,-2993.288433,-2993.288433,-2626.832961,-2157.332012,-1982.798434,-1726.441714,2,9
-2234.10236,-2532.676051,-2894.984532,-2894.984532,-2539.690171,-2074.161742,-1900.931603,-1657.396789,2,9
-2145.865416,-2446.375608,-2799.44197,-2799.44197,-2453.896178,-1991.423853,-1821.775806,-1591.132421,2,9
-2058.833909,-2361.647776,-2707.169182,-2707.169182,-2370.110829,-1909.816036,-1744.78423,-1526.568283,2,9
-1972.647373,-2279.296891,-2620.247104,-2620.247104,-2285.588728,-1829.18615,-1670.498367,-1463.465155,2,9
-1888.2496,-2197.840777,-2537.857622,-2537.857622,-2202.045657,-1750.195052,-1599.83705,-1401.573399,2,9
-1805.503642,-2118.165052,-2459.391269,-2459.391269,-2117.018007,-1672.502017,-1531.344109,-1340.536379,2,9
-1725.424864,-2038.973454,-2382.195935,-2382.195935,-2032.315569,-1596.602088,-1465.618085,-1280.174171,2,9
-1647.460117,-1962.6471,-2305.614472,-2305.614472,-1947.685904,-1522.629677,-1401.116333,-1220.301081,2,9
-1572.197561,-1888.481852,-2229.053093,-2229.053093,-1863.790039,-1451.105987,-1338.382205,-1161.133563,2,9
-1500.653833,-1816.114277,-2151.944336,-2151.944336,-1780.571088,-1382.926911,-1276.023648,-1103.286829,2,9
-1431.48128,-1744.068382,-2074.165551,-2074.165551,-1699.232316,-1316.993713,-1213.74622,-1044.92883,2,9
-1365.355536,-1673.168341,-1995.654589,-1995.654589,-1619.234746,-1253.766364,-1151.757771,-987.5761396,2,9
-1300.766047,-1604.287471,-1917.154462,-1917.154462,-1541.237538,-1191.70597,-1090.400475,-929.5986575,2,9
-1237.7211,-1538.344842,-1841.300147,-1841.300147,-1464.828597,-1130.961177,-1030.212632,-871.6612195,2,9
-1175.888339,-1473.519051,-1766.493137,-1766.493137,-1390.59844,-1071.418262,-971.6945135,-813.5063554,2,9
-1114.629328,-1411.134856,-1693.302967,-1693.302967,-1318.257854,-1012.696766,-913.0760497,-755.4788302,2,9
-1053.866985,-1349.497147,-1619.638622,-1619.638622,-1248.371667,-954.5208337,-855.5533142,-697.4048753,2,9
-993.4783678,-1290.990966,-1547.105968,-1547.105968,-1181.881011,-896.9724349,-797.436028,-639.6381573,2,9
-933.7336038,-1232.612706,-1475.296915,-1475.296915,-1117.342046,-840.1072961,-739.9508725,-582.2488257,2,9
-875.1000496,-1173.7452,-1404.807029,-1404.807029,-1055.176774,-783.9153828,-681.3855027,-525.9435372,2,9
-815.7724963,-1112.186946,-1335.373659,-1335.373659,-993.9177096,-726.6783039,-622.6220312,-470.4871023,2,9
-756.9417839,-1049.069925,-1267.734821,-1267.734821,-934.0113452,-669.5206526,-563.7056194,-416.5340742,2,9
-696.9476235,-984.0833127,-1201.554617,-1201.554617,-874.0580655,-610.8564823,-505.1732892,-363.6280118,2,9
-637.0592762,-917.9279738,-1138.229385,-1138.229385,-814.7410576,-551.9921672,-446.8387521,-311.6163411,2,9
-576.7518486,-850.7615178,-1077.066663,-1077.066663,-755.06172,-492.8040535,-389.1164669,-261.4450605,2,9
-516.2954359,-783.6575847,-1016.989562,-1016.989562,-695.7097817,-433.7812772,-331.8640138,-212.0553836,2,9
-455.7726121,-717.7470014,-957.478148,-957.478148,-637.5168666,-374.9615098,-275.5447995,-164.0290038,2,9
-395.6712553,-654.6681014,-898.9152249,-898.9152249,-581.4400443,-317.0210143,-220.0461193,-116.2609433,2,9
-335.9073517,-593.0046711,-842.0038172,-842.0038172,-525.7809727,-259.6157331,-165.7932459,-69.34684286,2,9
-277.0655081,-532.292908,-785.7342897,-785.7342897,-471.5880964,-202.8355826,-112.5626832,-22.23828186,2,9
