VOCs_Extracted_S1,VOCs_Extracted_S2,VOCs_Extracted_S3,VOCs_Extracted_S4,VOCs_Extracted_S5,VOCs_Extracted_S6,VOCs_Extracted_S7,VOCs_Extracted_S8,Stress_Type,Period
2258.747687,2113.730759,1678.164322,1678.164322,2081.104897,2426.400621,2143.345764,2214.952981,0,0
2292.484774,2150.347564,1713.173178,1713.173178,2117.193227,2460.838403,2173.174939,2244.577144,0,0
2325.931677,2190.272008,1747.923342,1747.923342,2152.790847,2494.810094,2205.354896,2276.074393,0,0
2359.780325,2231.675848,1782.276555,1782.276555,2188.730374,2529.097441,2239.666993,2308.767925,0,0
2394.020372,2179.277108,1816.412734,1816.412734,2224.594021,2563.490353,2275.270714,2342.841377,0,0
2428.628101,2200.566138,1850.289286,1850.289286,2260.850773,2597.637634,2299.279518,2377.443939,0,0
2450.485024,2366.411328,1883.905517,1883.905517,2296.820992,2631.2015,2329.891625,2412.183314,0,0
2481.722692,2673.459345,1917.043823,1917.043823,2333.993922,2663.972116,2367.910426,2446.391029,0,0
2525.433887,3057.450038,1949.177142,1949.177142,2372.561537,2695.52009,2415.314337,2479.309085,0,0
2581.683273,3422.047947,1980.877373,1980.877373,2412.661172,2725.392219,2470.276405,2509.923221,0,0
2647.980827,3626.708863,2011.581061,2011.581061,2453.34056,2752.908328,2528.124454,2537.918372,0,0
2717.777688,3575.437822,2041.934451,2041.934451,2380.919016,2778.004526,2582.625013,2562.28922,0,0
2782.593964,3181.844117,2071.578802,2071.578802,2398.39029,2799.871629,2622.814733,2583.044372,0,0
2830.784754,2374.21465,2101.634996,2101.634996,2593.357535,2818.611639,2633.614269,2599.156151,0,0
2847.373,1102.837774,2131.016518,2131.016518,2889.600828,2833.145017,2597.442296,2610.138153,0,0
2815.583106,-416.4474494,2159.772105,2159.772105,3294.104663,2842.634751,2494.039367,2612.873718,0,0
2716.722565,-2135.48871,2187.812477,2187.812477,3776.556791,2844.978011,2329.645632,2609.493665,0,0
2539.034327,-4023.438685,2215.689743,2215.689743,4270.242881,2841.822868,2059.698852,2599.997995,0,0
2300.079324,-6071.16673,2231.07047,2231.07047,4668.536354,2833.169321,1713.28014,2584.386706,0,0
1999.857556,-8279.843678,2257.391938,2257.391938,4830.286815,2819.01737,1290.389494,2562.6598,0,0
1638.369023,-10630.66672,2298.383273,2298.383273,4583.886204,2799.367015,791.026914,-1266.292712,0,0
1215.613725,-13145.13846,2358.885382,2358.885382,3736.233755,-437.9999306,215.1924009,-1843.470137,0,0
-21887.78725,-15823.25892,2438.190837,2438.190837,2369.7639,-1186.297817,-16798.62535,-2358.949271,0,0
-21104.41214,-18665.02809,2532.045202,2532.045202,327.7628119,-1859.228629,-16523.33748,-2812.730116,0,0
-20333.10658,-21670.44597,2629.0534,2629.0534,-2897.672749,-2456.792368,-16226.90708,-3204.812671,0,0
-19573.87058,-15413.10225,2714.998461,2714.998461,-6959.218055,-2978.989033,-15909.33414,-3535.196936,0,0
-18826.70414,-15002.5297,2771.018348,2771.018348,-11856.8731,-3425.818623,-15570.61865,-3787.157732,0,0
-18091.60724,-14604.48084,2775.453756,2775.453756,-17590.6379,-3779.217192,-15210.76063,-3970.473237,0,0
-17354.84254,-14218.95568,2703.646721,2703.646721,-24160.51244,-4049.887312,-14811.11653,-4104.932907,0,0
-16632.08639,-13845.95422,2561.44333,2561.44333,-18929.76267,-4259.301151,-14395.01485,-4206.125738,0,0
-15923.65805,-13485.47645,2293.004897,2293.004897,-18520.494,-4424.529099,-13969.95193,-4290.924218,0,0
-15252.99359,-13136.9915,1935.23529,1935.23529,-18091.05468,-4564.109515,-13541.35929,-4373.485643,0,0
-14619.16364,-12797.57498,1488.13451,1488.13451,-17641.44471,-4689.016624,-13127.0605,-4459.718996,0,0
